Rat number: 5 , Date: 20210629 
408,409,410,417,418,424,423,422,416,415,408,407,401,324,318,317,310,309,303,302,121,120,114,113,106,107,101,102,103,104,105,111,110,109,103,104,105,111,112,119,118,124,201,202,203,209,210,217,218,224,223,404,405,411,410,417,410,411,405,404,223,224,218,219,212,211,205,204,203,202,201,124,118,117,110,109,103,104,105,111,110,109,108,107,106,113,114,120,121,302,301,307,306,313,314,320,321,322,323,324,401,407,408,415,416,417,418,424,423,422,416,417,410,409,403,404,405,411,410,417,418,104,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('210', '209') ('00:25:2.480', '00:25:3.560') 1.08 0.3 0.278
('209', '203') ('00:25:3.560', '00:25:4.240') 0.68 0.3 0.441
('203', '202') ('00:25:4.240', '00:25:5.040') 0.8 0.3 0.375
('202', '201') ('00:25:5.040', '00:25:5.880') 0.84 0.3 0.357
('201', '124') ('00:25:5.880', '00:25:6.880') 1.0 0.6 0.6
('124', '118') ('00:25:6.880', '00:25:7.520') 0.64 0.3 0.469
('118', '117') ('00:25:7.520', '00:25:8.800') 1.28 0.3 0.234
('117', '110') ('00:25:8.800', '00:25:9.520') 0.72 0.3 0.417
('110', '111') ('00:25:9.520', '00:25:10.240') 0.72 0.3 0.417
('111', '105') ('00:25:10.240', '00:25:10.920') 0.68 0.3 0.441
('105', '104') ('00:25:10.920', '00:25:11.800') 0.88 0.3 0.341

402,403,409,408,407,401,324,318,317,310,311,305,304,303,302,121,120,114,115,108,109,103,104,
Summary Trial 14
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('402', '403') ('00:25:56.120', '00:25:58.240') 2.12 0.3 0.142
('403', '409') ('00:25:58.240', '00:26:3.240') 5.0 0.3 0.06
('409', '408') ('00:26:3.240', '00:26:5.400') 2.16 0.3 0.139
('408', '407') ('00:26:5.400', '00:26:7.800') 2.4 0.3 0.125
('407', '401') ('00:26:7.800', '00:26:10.160') 2.36 0.3 0.127
('401', '324') ('00:26:10.160', '00:26:11.400') 1.24 0.6 0.484
('324', '318') ('00:26:11.400', '00:26:13.200') 1.8 0.3 0.167
('318', '317') ('00:26:13.200', '00:26:13.800') 0.6 0.3 0.5
('317', '310') ('00:26:13.800', '00:26:14.800') 1.0 0.3 0.3
('310', '311') ('00:26:14.800', '00:26:16.200') 1.4 0.3 0.214
('311', '305') ('00:26:16.200', '00:26:17.440') 1.24 0.3 0.242
('305', '304') ('00:26:17.440', '00:26:19.000') 1.56 0.3 0.192
('304', '303') ('00:26:19.000', '00:26:20.120') 1.12 0.3 0.268
('303', '302') ('00:26:20.120', '00:26:21.440') 1.32 0.3 0.227
('302', '121') ('00:26:21.440', '00:26:23.840') 2.4 1.72 0.717
('121', '120') ('00:26:23.840', '00:26:25.240') 1.4 0.3 0.214
('120', '114') ('00:26:25.240', '00:26:25.960') 0.72 0.3 0.417
('114', '115') ('00:26:25.960', '00:26:27.080') 1.12 0.3 0.268
('115', '108') ('00:26:27.080', '00:26:28.360') 1.28 0.3 0.234
('108', '109') ('00:26:28.360', '00:26:29.120') 0.76 0.3 0.395
('109', '103') ('00:26:29.120', '00:26:30.160') 1.04 0.3 0.288
('103', '104') ('00:26:30.160', '00:26:31.040') 0.88 0.3 0.341

Rat number: 5 , Date: 20210629 
408,409,410,417,418,424,423,422,416,415,408,407,401,324,318,317,310,309,303,302,121,120,114,113,106,107,101,102,103,104,105,111,110,109,103,104,105,111,112,119,118,124,201,202,203,209,210,217,218,224,223,404,405,411,410,417,410,411,405,404,223,224,218,219,212,211,205,204,203,202,201,124,118,117,110,109,103,104,105,111,110,109,108,107,106,113,114,120,121,302,301,307,306,313,314,320,321,322,323,324,401,407,408,415,416,417,418,424,423,422,416,417,410,409,403,404,405,411,410,417,418,104,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('408', '409') ('00:00:41.720', '00:00:44.080') 2.36 0.3 0.127
('409', '410') ('00:00:44.080', '00:00:46.600') 2.52 0.3 0.119
('410', '417') ('00:00:46.600', '00:00:48.920') 2.32 0.3 0.129
('417', '418') ('00:00:48.920', '00:00:53.960') 5.04 0.3 0.06
('418', '424') ('00:00:53.960', '00:01:0.320') 6.36 0.3 0.047
('424', '423') ('00:01:0.320', '00:01:3.560') 3.24 0.3 0.093
('423', '422') ('00:01:3.560', '00:01:10.280') 6.72 0.3 0.045
('422', '416') ('00:01:10.280', '00:01:16.400') 6.12 0.3 0.049
('416', '415') ('00:01:16.400', '00:01:18.800') 2.4 0.3 0.125
('415', '408') ('00:01:18.800', '00:01:21.480') 2.68 0.3 0.112
('408', '407') ('00:01:21.480', '00:01:23.160') 1.68 0.3 0.179
('407', '401') ('00:01:23.160', '00:01:24.400') 1.24 0.3 0.242
('401', '324') ('00:01:24.400', '00:01:26.640') 2.24 0.6 0.268
('324', '318') ('00:01:26.640', '00:01:28.040') 1.4 0.3 0.214
('318', '317') ('00:01:28.040', '00:01:28.800') 0.76 0.3 0.395
('317', '310') ('00:01:28.800', '00:01:30.200') 1.4 0.3 0.214
('310', '309') ('00:01:30.200', '00:01:31.040') 0.84 0.3 0.357
('309', '303') ('00:01:31.040', '00:01:32.320') 1.28 0.3 0.234
('303', '302') ('00:01:32.320', '00:01:33.600') 1.28 0.3 0.234
('302', '121') ('00:01:33.600', '00:01:40.480') 6.88 1.72 0.25
('121', '120') ('00:01:40.480', '00:01:45.120') 4.64 0.3 0.065
('120', '114') ('00:01:45.120', '00:01:47.640') 2.52 0.3 0.119
('114', '113') ('00:01:47.640', '00:01:48.760') 1.12 0.3 0.268
('113', '106') ('00:01:48.760', '00:01:50.400') 1.64 0.3 0.183
('106', '107') ('00:01:50.400', '00:01:51.760') 1.36 0.3 0.221
('107', '101') ('00:01:51.760', '00:01:59.080') 7.32 0.3 0.041
('101', '102') ('00:01:59.080', '00:02:2.120') 3.04 0.3 0.099
('102', '103') ('00:02:2.120', '00:02:3.280') 1.16 0.3 0.259
('103', '104') ('00:02:3.280', '00:02:6.680') 3.4 0.3 0.088
('104', '105') ('00:02:6.680', '00:02:18.320') 11.64 0.3 0.026
('105', '111') ('00:02:18.320', '00:02:19.800') 1.48 0.3 0.203
('111', '110') ('00:02:19.800', '00:02:31.000') 11.2 0.3 0.027
('110', '109') ('00:02:31.000', '00:02:33.400') 2.4 0.3 0.125
('109', '103') ('00:02:33.400', '00:02:35.200') 1.8 0.3 0.167
('103', '104') ('00:02:35.200', '00:02:39.800') 4.6 0.3 0.065
('104', '105') ('00:02:39.800', '00:02:45.000') 5.2 0.3 0.058
('105', '111') ('00:02:45.000', '00:02:47.680') 2.68 0.3 0.112
('111', '112') ('00:02:47.680', '00:02:48.840') 1.16 0.3 0.259
('112', '119') ('00:02:48.840', '00:02:50.680') 1.84 0.3 0.163
('119', '118') ('00:02:50.680', '00:02:51.680') 1.0 0.3 0.3
('118', '124') ('00:02:51.680', '00:02:52.720') 1.04 0.3 0.288
('124', '201') ('00:02:52.720', '00:02:58.280') 5.56 0.6 0.108
('201', '202') ('00:02:58.280', '00:02:59.880') 1.6 0.3 0.187
('202', '203') ('00:02:59.880', '00:03:1.120') 1.24 0.3 0.242
('203', '209') ('00:03:1.120', '00:03:3.760') 2.64 0.3 0.114
('209', '210') ('00:03:3.760', '00:03:4.600') 0.84 0.3 0.357
('210', '217') ('00:03:4.600', '00:03:6.000') 1.4 0.3 0.214
('217', '218') ('00:03:6.000', '00:03:8.720') 2.72 0.3 0.11
('218', '224') ('00:03:8.720', '00:03:12.320') 3.6 0.3 0.083
('224', '223') ('00:03:12.320', '00:03:13.800') 1.48 0.3 0.203
('223', '404') ('00:03:13.800', '00:03:20.400') 6.6 1.69 0.256
('404', '405') ('00:03:20.400', '00:03:21.520') 1.12 0.3 0.268
('405', '411') ('00:03:21.520', '00:03:22.680') 1.16 0.3 0.259
('411', '410') ('00:03:22.680', '00:03:26.600') 3.92 0.3 0.077
('410', '417') ('00:03:26.600', '00:03:28.880') 2.28 0.3 0.132
('417', '410') ('00:03:28.880', '00:03:40.600') 11.72 0.3 0.026
('410', '411') ('00:03:40.600', '00:03:44.200') 3.6 0.3 0.083
('411', '405') ('00:03:44.200', '00:03:45.600') 1.4 0.3 0.214
('405', '404') ('00:03:45.600', '00:03:47.520') 1.92 0.3 0.156
('404', '223') ('00:03:47.520', '00:03:56.480') 8.96 1.69 0.189
('223', '224') ('00:03:56.480', '00:03:59.840') 3.36 0.3 0.089
('224', '218') ('00:03:59.840', '00:04:5.200') 5.36 0.3 0.056
('218', '219') ('00:04:5.200', '00:04:13.840') 8.64 0.3 0.035
('219', '212') ('00:04:13.840', '00:04:17.959') 4.119 0.3 0.073
('212', '211') ('00:04:17.959', '00:04:23.600') 5.641 0.3 0.053
('211', '205') ('00:04:23.600', '00:04:25.680') 2.08 0.3 0.144
('205', '204') ('00:04:25.680', '00:04:26.800') 1.12 0.3 0.268
('204', '203') ('00:04:26.800', '00:04:32.800') 6.0 0.3 0.05
('203', '202') ('00:04:32.800', '00:04:36.160') 3.36 0.3 0.089
('202', '201') ('00:04:36.160', '00:04:40.800') 4.64 0.3 0.065
('201', '124') ('00:04:40.800', '00:04:44.400') 3.6 0.6 0.167
('124', '118') ('00:04:44.400', '00:04:45.960') 1.56 0.3 0.192
('118', '117') ('00:04:45.960', '00:04:47.160') 1.2 0.3 0.25
('117', '110') ('00:04:47.160', '00:04:48.440') 1.28 0.3 0.234
('110', '109') ('00:04:48.440', '00:04:52.720') 4.28 0.3 0.07
('109', '103') ('00:04:52.720', '00:04:54.000') 1.28 0.3 0.234
('103', '104') ('00:04:54.000', '00:04:56.400') 2.4 0.3 0.125
('104', '105') ('00:04:56.400', '00:05:12.640') 16.24 0.3 0.018
('105', '111') ('00:05:12.640', '00:05:14.400') 1.76 0.3 0.17
('111', '110') ('00:05:14.400', '00:05:19.360') 4.96 0.3 0.06
('110', '109') ('00:05:19.360', '00:05:20.360') 1.0 0.3 0.3
('109', '108') ('00:05:20.360', '00:05:22.120') 1.76 0.3 0.17
('108', '107') ('00:05:22.120', '00:05:24.440') 2.32 0.3 0.129
('107', '106') ('00:05:24.440', '00:05:27.920') 3.48 0.3 0.086
('106', '113') ('00:05:27.920', '00:05:31.760') 3.84 0.3 0.078
('113', '114') ('00:05:31.760', '00:05:35.480') 3.72 0.3 0.081
('114', '120') ('00:05:35.480', '00:05:39.600') 4.12 0.3 0.073
('120', '121') ('00:05:39.600', '00:06:3.000') 23.4 0.3 0.013
('121', '302') ('00:06:3.000', '00:06:52.920') 49.92 1.72 0.034
('302', '301') ('00:06:52.920', '00:06:54.680') 1.76 0.3 0.17
('301', '307') ('00:06:54.680', '00:06:56.960') 2.28 0.3 0.132
('307', '306') ('00:06:56.960', '00:06:58.800') 1.84 0.3 0.163
('306', '313') ('00:06:58.800', '00:07:0.360') 1.56 0.3 0.192
('313', '314') ('00:07:0.360', '00:07:15.600') 15.24 0.3 0.02
('314', '320') ('00:07:15.600', '00:07:25.120') 9.52 0.3 0.032
('320', '321') ('00:07:25.120', '00:07:28.000') 2.88 0.3 0.104
('321', '322') ('00:07:28.000', '00:07:33.160') 5.16 0.3 0.058
('322', '323') ('00:07:33.160', '00:07:36.080') 2.92 0.3 0.103
('323', '324') ('00:07:36.080', '00:07:40.040') 3.96 0.3 0.076
('324', '401') ('00:07:40.040', '00:07:43.600') 3.56 0.6 0.169
('401', '407') ('00:07:43.600', '00:07:46.680') 3.08 0.3 0.097
('407', '408') ('00:07:46.680', '00:07:49.120') 2.44 0.3 0.123
('408', '415') ('00:07:49.120', '00:07:58.720') 9.6 0.3 0.031
('415', '416') ('00:07:58.720', '00:08:0.120') 1.4 0.3 0.214
('416', '417') ('00:08:0.120', '00:08:3.360') 3.24 0.3 0.093
('417', '418') ('00:08:3.360', '00:08:6.800') 3.44 0.3 0.087
('418', '424') ('00:08:6.800', '00:08:15.200') 8.4 0.3 0.036
('424', '423') ('00:08:15.200', '00:08:17.800') 2.6 0.3 0.115
('423', '422') ('00:08:17.800', '00:08:24.920') 7.12 0.3 0.042
('422', '416') ('00:08:24.920', '00:09:14.320') 49.4 0.3 0.006
('416', '417') ('00:09:14.320', '00:09:18.080') 3.76 0.3 0.08
('417', '410') ('00:09:18.080', '00:09:29.560') 11.48 0.3 0.026
('410', '409') ('00:09:29.560', '00:09:40.400') 10.84 0.3 0.028
('409', '403') ('00:09:40.400', '00:09:42.680') 2.28 0.3 0.132
('403', '404') ('00:09:42.680', '00:09:48.440') 5.76 0.3 0.052
('404', '405') ('00:09:48.440', '00:10:6.720') 18.28 0.3 0.016
('405', '411') ('00:10:6.720', '00:10:11.840') 5.12 0.3 0.059
('411', '410') ('00:10:11.840', '00:10:16.360') 4.52 0.3 0.066
('410', '417') ('00:10:16.360', '00:10:22.680') 6.32 0.3 0.047
('417', '418') ('00:10:22.680', '00:10:35.480') 12.8 0.3 0.023
('418', '104') ('00:10:35.480', '00:10:59.160') 23.68 0.3 0.013

408,409,410,417,418,424,423,422,416,415,408,407,401,324,318,317,310,309,303,302,121,120,114,113,106,107,101,102,103,104,105,111,110,109,103,104,105,111,112,119,118,124,201,202,203,209,210,217,218,224,223,404,405,411,410,417,410,411,405,404,223,224,218,219,212,211,205,204,203,202,201,124,118,117,110,109,103,104,105,111,110,109,108,107,106,113,114,120,121,302,301,307,306,313,314,320,321,322,323,324,401,407,408,415,416,417,418,424,423,422,416,417,410,409,403,404,405,411,410,417,418,104,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('408', '409') ('00:00:41.720', '00:00:44.080') 2.36 0.3 0.127
('409', '410') ('00:00:44.080', '00:00:46.600') 2.52 0.3 0.119
('410', '417') ('00:00:46.600', '00:00:48.920') 2.32 0.3 0.129
('417', '418') ('00:00:48.920', '00:00:53.960') 5.04 0.3 0.06
('418', '424') ('00:00:53.960', '00:01:0.320') 6.36 0.3 0.047
('424', '423') ('00:01:0.320', '00:01:3.560') 3.24 0.3 0.093
('423', '422') ('00:01:3.560', '00:01:10.280') 6.72 0.3 0.045
('422', '416') ('00:01:10.280', '00:01:16.400') 6.12 0.3 0.049
('416', '415') ('00:01:16.400', '00:01:18.800') 2.4 0.3 0.125
('415', '408') ('00:01:18.800', '00:01:21.480') 2.68 0.3 0.112
('408', '407') ('00:01:21.480', '00:01:23.160') 1.68 0.3 0.179
('407', '401') ('00:01:23.160', '00:01:24.400') 1.24 0.3 0.242
('401', '324') ('00:01:24.400', '00:01:26.640') 2.24 0.6 0.268
('324', '318') ('00:01:26.640', '00:01:28.040') 1.4 0.3 0.214
('318', '317') ('00:01:28.040', '00:01:28.800') 0.76 0.3 0.395
('317', '310') ('00:01:28.800', '00:01:30.200') 1.4 0.3 0.214
('310', '309') ('00:01:30.200', '00:01:31.040') 0.84 0.3 0.357
('309', '303') ('00:01:31.040', '00:01:32.320') 1.28 0.3 0.234
('303', '302') ('00:01:32.320', '00:01:33.600') 1.28 0.3 0.234
('302', '121') ('00:01:33.600', '00:01:40.480') 6.88 1.72 0.25
('121', '120') ('00:01:40.480', '00:01:45.120') 4.64 0.3 0.065
('120', '114') ('00:01:45.120', '00:01:47.640') 2.52 0.3 0.119
('114', '113') ('00:01:47.640', '00:01:48.760') 1.12 0.3 0.268
('113', '106') ('00:01:48.760', '00:01:50.400') 1.64 0.3 0.183
('106', '107') ('00:01:50.400', '00:01:51.760') 1.36 0.3 0.221
('107', '101') ('00:01:51.760', '00:01:59.080') 7.32 0.3 0.041
('101', '102') ('00:01:59.080', '00:02:2.120') 3.04 0.3 0.099
('102', '103') ('00:02:2.120', '00:02:3.280') 1.16 0.3 0.259
('103', '104') ('00:02:3.280', '00:02:6.680') 3.4 0.3 0.088
('104', '105') ('00:02:6.680', '00:02:18.320') 11.64 0.3 0.026
('105', '111') ('00:02:18.320', '00:02:19.800') 1.48 0.3 0.203
('111', '110') ('00:02:19.800', '00:02:31.000') 11.2 0.3 0.027
('110', '109') ('00:02:31.000', '00:02:33.400') 2.4 0.3 0.125
('109', '103') ('00:02:33.400', '00:02:35.200') 1.8 0.3 0.167
('103', '104') ('00:02:35.200', '00:02:39.800') 4.6 0.3 0.065
('104', '105') ('00:02:39.800', '00:02:45.000') 5.2 0.3 0.058
('105', '111') ('00:02:45.000', '00:02:47.680') 2.68 0.3 0.112
('111', '112') ('00:02:47.680', '00:02:48.840') 1.16 0.3 0.259
('112', '119') ('00:02:48.840', '00:02:50.680') 1.84 0.3 0.163
('119', '118') ('00:02:50.680', '00:02:51.680') 1.0 0.3 0.3
('118', '124') ('00:02:51.680', '00:02:52.720') 1.04 0.3 0.288
('124', '201') ('00:02:52.720', '00:02:58.280') 5.56 0.6 0.108
('201', '202') ('00:02:58.280', '00:02:59.880') 1.6 0.3 0.187
('202', '203') ('00:02:59.880', '00:03:1.120') 1.24 0.3 0.242
('203', '209') ('00:03:1.120', '00:03:3.760') 2.64 0.3 0.114
('209', '210') ('00:03:3.760', '00:03:4.600') 0.84 0.3 0.357
('210', '217') ('00:03:4.600', '00:03:6.000') 1.4 0.3 0.214
('217', '218') ('00:03:6.000', '00:03:8.720') 2.72 0.3 0.11
('218', '224') ('00:03:8.720', '00:03:12.320') 3.6 0.3 0.083
('224', '223') ('00:03:12.320', '00:03:13.800') 1.48 0.3 0.203
('223', '404') ('00:03:13.800', '00:03:20.400') 6.6 1.69 0.256
('404', '405') ('00:03:20.400', '00:03:21.520') 1.12 0.3 0.268
('405', '411') ('00:03:21.520', '00:03:22.680') 1.16 0.3 0.259
('411', '410') ('00:03:22.680', '00:03:26.600') 3.92 0.3 0.077
('410', '417') ('00:03:26.600', '00:03:28.880') 2.28 0.3 0.132
('417', '410') ('00:03:28.880', '00:03:40.600') 11.72 0.3 0.026
('410', '411') ('00:03:40.600', '00:03:44.200') 3.6 0.3 0.083
('411', '405') ('00:03:44.200', '00:03:45.600') 1.4 0.3 0.214
('405', '404') ('00:03:45.600', '00:03:47.520') 1.92 0.3 0.156
('404', '223') ('00:03:47.520', '00:03:56.480') 8.96 1.69 0.189
('223', '224') ('00:03:56.480', '00:03:59.840') 3.36 0.3 0.089
('224', '218') ('00:03:59.840', '00:04:5.200') 5.36 0.3 0.056
('218', '219') ('00:04:5.200', '00:04:13.840') 8.64 0.3 0.035
('219', '212') ('00:04:13.840', '00:04:17.959') 4.119 0.3 0.073
('212', '211') ('00:04:17.959', '00:04:23.600') 5.641 0.3 0.053
('211', '205') ('00:04:23.600', '00:04:25.680') 2.08 0.3 0.144
('205', '204') ('00:04:25.680', '00:04:26.800') 1.12 0.3 0.268
('204', '203') ('00:04:26.800', '00:04:32.800') 6.0 0.3 0.05
('203', '202') ('00:04:32.800', '00:04:36.160') 3.36 0.3 0.089
('202', '201') ('00:04:36.160', '00:04:40.800') 4.64 0.3 0.065
('201', '124') ('00:04:40.800', '00:04:44.400') 3.6 0.6 0.167
('124', '118') ('00:04:44.400', '00:04:45.960') 1.56 0.3 0.192
('118', '117') ('00:04:45.960', '00:04:47.160') 1.2 0.3 0.25
('117', '110') ('00:04:47.160', '00:04:48.440') 1.28 0.3 0.234
('110', '109') ('00:04:48.440', '00:04:52.720') 4.28 0.3 0.07
('109', '103') ('00:04:52.720', '00:04:54.000') 1.28 0.3 0.234
('103', '104') ('00:04:54.000', '00:04:56.400') 2.4 0.3 0.125
('104', '105') ('00:04:56.400', '00:05:12.640') 16.24 0.3 0.018
('105', '111') ('00:05:12.640', '00:05:14.400') 1.76 0.3 0.17
('111', '110') ('00:05:14.400', '00:05:19.360') 4.96 0.3 0.06
('110', '109') ('00:05:19.360', '00:05:20.360') 1.0 0.3 0.3
('109', '108') ('00:05:20.360', '00:05:22.120') 1.76 0.3 0.17
('108', '107') ('00:05:22.120', '00:05:24.440') 2.32 0.3 0.129
('107', '106') ('00:05:24.440', '00:05:27.920') 3.48 0.3 0.086
('106', '113') ('00:05:27.920', '00:05:31.760') 3.84 0.3 0.078
('113', '114') ('00:05:31.760', '00:05:35.480') 3.72 0.3 0.081
('114', '120') ('00:05:35.480', '00:05:39.600') 4.12 0.3 0.073
('120', '121') ('00:05:39.600', '00:06:3.000') 23.4 0.3 0.013
('121', '302') ('00:06:3.000', '00:06:52.920') 49.92 1.72 0.034
('302', '301') ('00:06:52.920', '00:06:54.680') 1.76 0.3 0.17
('301', '307') ('00:06:54.680', '00:06:56.960') 2.28 0.3 0.132
('307', '306') ('00:06:56.960', '00:06:58.800') 1.84 0.3 0.163
('306', '313') ('00:06:58.800', '00:07:0.360') 1.56 0.3 0.192
('313', '314') ('00:07:0.360', '00:07:15.600') 15.24 0.3 0.02
('314', '320') ('00:07:15.600', '00:07:25.120') 9.52 0.3 0.032
('320', '321') ('00:07:25.120', '00:07:28.000') 2.88 0.3 0.104
('321', '322') ('00:07:28.000', '00:07:33.160') 5.16 0.3 0.058
('322', '323') ('00:07:33.160', '00:07:36.080') 2.92 0.3 0.103
('323', '324') ('00:07:36.080', '00:07:40.040') 3.96 0.3 0.076
('324', '401') ('00:07:40.040', '00:07:43.600') 3.56 0.6 0.169
('401', '407') ('00:07:43.600', '00:07:46.680') 3.08 0.3 0.097
('407', '408') ('00:07:46.680', '00:07:49.120') 2.44 0.3 0.123
('408', '415') ('00:07:49.120', '00:07:58.720') 9.6 0.3 0.031
('415', '416') ('00:07:58.720', '00:08:0.120') 1.4 0.3 0.214
('416', '417') ('00:08:0.120', '00:08:3.360') 3.24 0.3 0.093
('417', '418') ('00:08:3.360', '00:08:6.800') 3.44 0.3 0.087
('418', '424') ('00:08:6.800', '00:08:15.200') 8.4 0.3 0.036
('424', '423') ('00:08:15.200', '00:08:17.800') 2.6 0.3 0.115
('423', '422') ('00:08:17.800', '00:08:24.920') 7.12 0.3 0.042
('422', '416') ('00:08:24.920', '00:09:14.320') 49.4 0.3 0.006
('416', '417') ('00:09:14.320', '00:09:18.080') 3.76 0.3 0.08
('417', '410') ('00:09:18.080', '00:09:29.560') 11.48 0.3 0.026
('410', '409') ('00:09:29.560', '00:09:40.400') 10.84 0.3 0.028
('409', '403') ('00:09:40.400', '00:09:42.680') 2.28 0.3 0.132
('403', '404') ('00:09:42.680', '00:09:48.440') 5.76 0.3 0.052
('404', '405') ('00:09:48.440', '00:10:6.720') 18.28 0.3 0.016
('405', '411') ('00:10:6.720', '00:10:11.840') 5.12 0.3 0.059
('411', '410') ('00:10:11.840', '00:10:16.360') 4.52 0.3 0.066
('410', '417') ('00:10:16.360', '00:10:22.680') 6.32 0.3 0.047
('417', '418') ('00:10:22.680', '00:10:35.480') 12.8 0.3 0.023
('418', '104') ('00:10:35.480', '00:10:59.160') 23.68 0.3 0.013
('408', '409') ('00:00:41.720', '00:00:44.080') 2.36 0.3 0.127
('409', '410') ('00:00:44.080', '00:00:46.600') 2.52 0.3 0.119
('410', '417') ('00:00:46.600', '00:00:48.920') 2.32 0.3 0.129
('417', '418') ('00:00:48.920', '00:00:53.960') 5.04 0.3 0.06
('418', '424') ('00:00:53.960', '00:01:0.320') 6.36 0.3 0.047
('424', '423') ('00:01:0.320', '00:01:3.560') 3.24 0.3 0.093
('423', '422') ('00:01:3.560', '00:01:10.280') 6.72 0.3 0.045
('422', '416') ('00:01:10.280', '00:01:16.400') 6.12 0.3 0.049
('416', '415') ('00:01:16.400', '00:01:18.800') 2.4 0.3 0.125
('415', '408') ('00:01:18.800', '00:01:21.480') 2.68 0.3 0.112
('408', '407') ('00:01:21.480', '00:01:23.160') 1.68 0.3 0.179
('407', '401') ('00:01:23.160', '00:01:24.400') 1.24 0.3 0.242
('401', '324') ('00:01:24.400', '00:01:26.640') 2.24 0.6 0.268
('324', '318') ('00:01:26.640', '00:01:28.040') 1.4 0.3 0.214
('318', '317') ('00:01:28.040', '00:01:28.800') 0.76 0.3 0.395
('317', '310') ('00:01:28.800', '00:01:30.200') 1.4 0.3 0.214
('310', '309') ('00:01:30.200', '00:01:31.040') 0.84 0.3 0.357
('309', '303') ('00:01:31.040', '00:01:32.320') 1.28 0.3 0.234
('303', '302') ('00:01:32.320', '00:01:33.600') 1.28 0.3 0.234
('302', '121') ('00:01:33.600', '00:01:40.480') 6.88 1.72 0.25
('121', '120') ('00:01:40.480', '00:01:45.120') 4.64 0.3 0.065
('120', '114') ('00:01:45.120', '00:01:47.640') 2.52 0.3 0.119
('114', '113') ('00:01:47.640', '00:01:48.760') 1.12 0.3 0.268
('113', '106') ('00:01:48.760', '00:01:50.400') 1.64 0.3 0.183
('106', '107') ('00:01:50.400', '00:01:51.760') 1.36 0.3 0.221
('107', '101') ('00:01:51.760', '00:01:59.080') 7.32 0.3 0.041
('101', '102') ('00:01:59.080', '00:02:2.120') 3.04 0.3 0.099
('102', '103') ('00:02:2.120', '00:02:3.280') 1.16 0.3 0.259
('103', '104') ('00:02:3.280', '00:02:6.680') 3.4 0.3 0.088
('104', '105') ('00:02:6.680', '00:02:18.320') 11.64 0.3 0.026
('105', '111') ('00:02:18.320', '00:02:19.800') 1.48 0.3 0.203
('111', '110') ('00:02:19.800', '00:02:31.000') 11.2 0.3 0.027
('110', '109') ('00:02:31.000', '00:02:33.400') 2.4 0.3 0.125
('109', '103') ('00:02:33.400', '00:02:35.200') 1.8 0.3 0.167
('103', '104') ('00:02:35.200', '00:02:39.800') 4.6 0.3 0.065
('104', '105') ('00:02:39.800', '00:02:45.000') 5.2 0.3 0.058
('105', '111') ('00:02:45.000', '00:02:47.680') 2.68 0.3 0.112
('111', '112') ('00:02:47.680', '00:02:48.840') 1.16 0.3 0.259
('112', '119') ('00:02:48.840', '00:02:50.680') 1.84 0.3 0.163
('119', '118') ('00:02:50.680', '00:02:51.680') 1.0 0.3 0.3
('118', '124') ('00:02:51.680', '00:02:52.720') 1.04 0.3 0.288
('124', '201') ('00:02:52.720', '00:02:58.280') 5.56 0.6 0.108
('201', '202') ('00:02:58.280', '00:02:59.880') 1.6 0.3 0.187
('202', '203') ('00:02:59.880', '00:03:1.120') 1.24 0.3 0.242
('203', '209') ('00:03:1.120', '00:03:3.760') 2.64 0.3 0.114
('209', '210') ('00:03:3.760', '00:03:4.600') 0.84 0.3 0.357
('210', '217') ('00:03:4.600', '00:03:6.000') 1.4 0.3 0.214
('217', '218') ('00:03:6.000', '00:03:8.720') 2.72 0.3 0.11
('218', '224') ('00:03:8.720', '00:03:12.320') 3.6 0.3 0.083
('224', '223') ('00:03:12.320', '00:03:13.800') 1.48 0.3 0.203
('223', '404') ('00:03:13.800', '00:03:20.400') 6.6 1.69 0.256
('404', '405') ('00:03:20.400', '00:03:21.520') 1.12 0.3 0.268
('405', '411') ('00:03:21.520', '00:03:22.680') 1.16 0.3 0.259
('411', '410') ('00:03:22.680', '00:03:26.600') 3.92 0.3 0.077
('410', '417') ('00:03:26.600', '00:03:28.880') 2.28 0.3 0.132
('417', '410') ('00:03:28.880', '00:03:40.600') 11.72 0.3 0.026
('410', '411') ('00:03:40.600', '00:03:44.200') 3.6 0.3 0.083
('411', '405') ('00:03:44.200', '00:03:45.600') 1.4 0.3 0.214
('405', '404') ('00:03:45.600', '00:03:47.520') 1.92 0.3 0.156
('404', '223') ('00:03:47.520', '00:03:56.480') 8.96 1.69 0.189
('223', '224') ('00:03:56.480', '00:03:59.840') 3.36 0.3 0.089
('224', '218') ('00:03:59.840', '00:04:5.200') 5.36 0.3 0.056
('218', '219') ('00:04:5.200', '00:04:13.840') 8.64 0.3 0.035
('219', '212') ('00:04:13.840', '00:04:17.959') 4.119 0.3 0.073
('212', '211') ('00:04:17.959', '00:04:23.600') 5.641 0.3 0.053
('211', '205') ('00:04:23.600', '00:04:25.680') 2.08 0.3 0.144
